,Title,Date,Summary,Rating,Metascore
78,All In: The Fight for Democracy,"Sep 9, 2020","In anticipation of the 2020 presidential election, All In: The Fight for Democracy examines the often overlooked, yet insidious issue of voter suppression in the United States. The film interweaves personal experiences with current activism and historical insight to expose a problem that has corrupted our democracy from the very beginning. With the perspective and expertise of Stacey Abrams, the former Minority Leader of the Georgia House of Representatives, the documentary offers an insider’s look into laws and barriers to voting that most people don’t even know are threats to their basic rights as citizens of the United States.",PG-13,79
79,The Painter and the Thief,"May 22, 2020","Desperate for answers about the theft of her 2 paintings, a Czech artist seeks out and befriends the career criminal who stole them. After inviting her thief to sit for a portrait, the two form an improbable relationship and an inextricable bond that will forever link these lonely souls.",Not Rated,79
80,Black Bear,"Dec 4, 2020","At a remote lake house in the Adirondack Mountains, a couple entertains an out-of-town guest looking for inspiration in her filmmaking. The group quickly falls into a calculated game of desire, manipulation, and jealousy, unaware of how dangerously convoluted their lives will soon become in the filmmaker’s pursuit of a work of art, which blurs the boundaries between autobiography and invention.",R,79
81,i'm thinking of ending things,"Sep 4, 2020","Despite second thoughts about their relationship, a young woman (Jessie Buckley) takes a road trip with her new boyfriend (Jesse Plemons) to his family farm. Trapped at the farm during a snowstorm with Jake’s mother (Toni Collette) and father (David Thewlis), the young woman begins to question the nature of everything she knew or understood about her boyfriend, herself, and the world.",R,78
82,Les Misérables,"Jan 10, 2020","Stephane, only just arrived from Cherbourg, joins the anti criminality brigade of Montfermeil in a sensitive district of the Paris suburbs. Paired up with Chris and Gwada whose methods are sometimes ""special"" he rapidly discovers the tensions between the various neighborhood groups. When an arrest starts to get out of hand, a drone is filming every move they make.",R,78
83,Kajillionaire,"Sep 25, 2020","Con-artists Theresa (Debra Winger) and Robert (Richard Jenkins) have spent 26 years training their only daughter, Old Dolio (Evan Rachel Wood), to swindle, scam, and steal at every opportunity. During a desperate, hastily conceived heist, they charm a stranger (Gina Rodriguez) into joining their next scam, only to have their entire world turned upside down.",R,78
84,"Crazy, Not Insane","Nov 18, 2020","Crazy, Not Insane follows Dr. Dorothy Otnow Lewis, a psychiatrist who has dedicated her career to studying murderers and seeking answers as to why people kill. The film explores her lifelong attempts to look beyond the grisly details of homicides and into the hearts and minds of the killers themselves.",TV-MA,78
85,Beyond The Visible: Hilma af Klint,"Apr 17, 2020","Hilma af Klint was an abstract artist before the term existed, a visionary, trailblazing figure who, inspired by spiritualism, modern science, and the riches of the natural world around her, began in 1906 to reel out a series of huge, colorful, sensual, strange works without precedent in painting. The subject of a recent smash retrospective at the Guggenheim Museum, af Klint was for years an all-but-forgotten figure in art historical discourse, before her long-delayed rediscovery. Director Halina Dryschka’s dazzling, course correcting documentary describes not only the life and craft of af Klint, but also the process of her mischaracterization and erasure by both a patriarchal narrative of artistic progress and capitalistic determination of artistic value. [Kino Lorber]",Not Rated,78
86,Spontaneous,"Oct 2, 2020","When students in their high school begin inexplicably exploding (literally…), seniors Mara (Katherine Langford) and Dylan (Charlie Plummer) struggle to survive in a world where each moment may be their last. As an unexpected romance blossoms between them, Mara and Dylan discover that when tomorrow is no longer promised, they can finally start living for today!",R,78
87,The Social Dilemma,"Sep 9, 2020","Technology wizards have masterminded a new form of capitalism, and humanity is now the raw resource feeding the machine. Powerful, hidden artificial intelligence tasked with hijacking our attention is tearing apart social norms, jeopardizing truth and democracy, and putting civilization on a programmed path toward self-destruction.  Set in the dark underbelly of Silicon Valley, The Social Dilemma fuses investigative documentary with enlightening narrative drama—think An Inconvenient Truth meets The Matrix. Expert testimony from tech whistle-blowers exposes our disturbing predicament: the services Big Tech provides—search engines, networks, instant information, et cetera—are merely the candy that lures us to bite. Once we’re hooked and coming back for more, the real commodity they sell is their prowess to influence and manipulate us.",PG-13,78
88,The Bee Gees: How Can You Mend a Broken Heart,"Dec 12, 2020","The Bee Gees: How Can You Mend a Broken Heart chronicles the triumphs and hurdles of brothers Barry, Maurice, and Robin Gibb, otherwise known as the Bee Gees. The iconic trio, who found early fame in the 1960s, went on to write over 1,000 songs and have 20 No. 1 hits throughout their career, transcending more than five decades of changing tastes and styles.",TV-MA,78
89,My Darling Vivian,"Jun 19, 2020","The story of Vivian Liberto, Johnny Cash's first wife and the mother of his four daughters.",TV-MA,78
90,Crock of Gold: A Few Rounds with Shane MacGowan,"Dec 4, 2020","Crock of Gold: A Few Rounds with Shane MacGowan dives into the life of the tortured Irish vocalist, best known as the lead singer and songwriter of the Pogues, who famously combined traditional Irish music with the visceral energy of punk rock. Featuring unseen archival footage from the band and MacGowan’s family, as well as animation from legendary illustrator Ralph Steadman, Julien Temple’s rollicking love letter spotlights the iconic frontman up to his 60th birthday celebration, where singers, movie stars and rock ’n’ roll outlaws gather to celebrate the man and his legacy.",Not Rated,77
91,The Personal History of David Copperfield,"Aug 28, 2020","The Personal History of David Copperfield re-imagines Charles Dickens’ classic ode to grit and perseverance through the comedic lens of its award-winning filmmakers— giving the Dickensian tale new life for a cosmopolitan age with a diverse ensemble cast of stage and screen actors from across the world. Armando Iannucci and Simon Blackwell lend their wry, yet heart-filled storytelling style to revisiting Dickens’ iconic hero on his quirky journey from impoverished orphan to burgeoning writer in Victorian England. [Searchlight Pictures]",PG,77
